
==================================================
Resumen de: analisis_datos/datos_fase1
==================================================
                        Especie  audios_json  archivos_embeddings  segmentos_embeddings
                 Momotus momota           19                   19                   499
           Momotus subrufescens           13                   13                   258
            Monasa flavirostris            6                    6                    62
               Monasa morphoeus           19                   19                   314
              Monasa nigrifrons            6                    6                    76
          Morphnarchus princeps            2                    2                    15
       Mustelirallus albicollis            8                    8                    77
             Myrmeciza longipes           52                   52                   890
        Myrmelastes hyperythrus            2                    2                    16
        Myrmelastes leucostigma           24                   24                   345
        Myrmelastes schistaceus            4                    4                    66
          Myrmoborus leucophrys           21                   21                   487
            Myrmoborus lugubris            1                    1                     9
           Myrmoborus melanurus            2                    2                    21
         Myrmoborus myotherinus           45                   45                   905
         Myrmochanes hemileucus            2                    2                    41
         Myrmophylax atrothorax           40                   40                   949
           Myrmotherula ambigua           34                   34                   558
         Myrmotherula assimilis            1                    1                    12
         Myrmotherula axillaris           42                   42                   840
         Myrmotherula brachyura           11                   11                   168
          Myrmotherula cherriei           36                   36                   570
            Myrmotherula ignota            7                    7                    52
        Myrmotherula longicauda            1                    1                    11
       Myrmotherula longipennis            3                    3                    99
       Myrmotherula menetriesii            2                    2                    40
      Myrmotherula multostriata            5                    5                   133
          Myrmotherula pacifica           15                   15                   218
      Myrmotherula schisticolor           22                   20                   273
        Nannopterum brasilianum            4                    4                    35
            Nasica longirostris           10                   10                    73
                 Neochen jubata            2                    2                     8
               Neoctantes niger           12                   12                   175
           Neomorphus geoffroyi            1                    1                    19
          Neomorphus pucheranii            2                    2                    11
              Nonnula frontalis            2                    2                    17
               Nonnula rubecula            1                    1                    10
       Notharchus hyperrhynchus            6                    6                   108
               Notharchus ordii            2                    2                    33
          Notharchus pectoralis            7                    7                    71
              Notharchus tectus            6                    6                    83
         Nothocercus bonapartei            9                    9                    91
             Nothocercus julius           17                   17                   359
             Nothocrax urumutum            3                    3                    74
            Numenius hudsonicus            2                    2                     4
           Nyctibius bracteatus            1                    1                     2
              Nyctibius grandis            8                    8                   139
              Nyctibius griseus           33                   33                   562
            Nyctibius maculosus            2                    2                    17
          Nycticorax nycticorax            8                    8                    32
         Nyctidromus albicollis           63                   63                  1165
         Nyctiphrynus ocellatus            1                    1                     4
        Nyctiphrynus rosenbergi            2                    2                    30
          Nyctiprogne leucopyga            5                    5                    79
                Nystalus obamai            6                    6                   220
              Nystalus radiatus            8                    8                    67
           Ocreatus underwoodii           23                   23                   155
         Odontophorus atrifrons           14                   14                   197
         Odontophorus erythrops            3                    3                    70
        Odontophorus gujanensis            9                    9                   181
       Odontophorus hyperythrus           51                   51                   993
       Odontophorus melanonotus            5                    5                    32
         Odontophorus strophium           20                   20                   309
         Ognorhynchus icterotis           67                   67                   790
            Opisthocomus hoazin           12                   12                   213
             Ortalis columbiana           96                   96                  2199
           Ortalis erythroptera            1                    1                    15
                Ortalis garrula           28                   28                   461
                Ortalis guttata           18                   18                   279
              Ortalis ruficauda           18                   18                   210
        Orthopsittaca manilatus            9                    9                   143
           Oxypogon cyanolaemus            3                    3                    32
              Oxypogon guerinii            4                    4                    30
             Oxypogon stuebelii           12                   12                   179
              Oxyura ferruginea            2                    2                    19
             Oxyura jamaicensis            1                    1                     4
              Pandion haliaetus            3                    3                    22
          Parabuteo leucorrhous           12                   12                   146
        Paraclaravis mondetoura            2                    2                    19
          Pardirallus nigricans            9                    9                    77
        Patagioenas cayennensis           24                   24                   249
           Patagioenas corensis            3                    3                    17
           Patagioenas fasciata           14                   14                   200
           Patagioenas goodsoni            8                    8                   141
       Patagioenas leucocephala            3                    3                    39
            Patagioenas plumbea           30                   30                   528
           Patagioenas speciosa           11                   11                   187
         Patagioenas subvinacea           48                   48                   591
                 Pavo cristatus            2                    2                     6
             Penelope argyrotis           26                   26                   518
              Penelope jacquacu            6                    6                   113
             Penelope montagnii           49                   49                  1415
             Penelope perspicax           41                   41                  1663
          Penelope purpurascens            8                    8                   257
             Percnostola fortis            3                    3                    43
         Percnostola immaculata           21                   17                   242
         Percnostola melanoceps           13                   13                   156
          Percnostola rufifrons           61                   61                  1368
        Phacellodomus inornatus           15                   15                   284
        Phacellodomus rufifrons            6                    6                    69
       Phaenostictus mcleannani            4                    4                    55
        Phaethornis anthophilus            9                    9                   207
       Phaethornis atrimentalis            2                    2                    30
            Phaethornis augusti            2                    2                    21
          Phaethornis bourcieri           10                   10                   108
      Phaethornis griseogularis            8                    8                   144
                Phaethornis guy           49                   49                  1096
           Phaethornis hispidus            1                    1                     5
       Phaethornis longirostris            1                    1                     5
            Phaethornis malaris            9                    9                   157
              Phaethornis ruber            4                    4                    36
          Phaethornis rupurumii            1                    1                     7
       Phaethornis striigularis           11                   11                   182
      Phaethornis syrmatophorus           25                   25                   714
            Phaethornis yaruqui           12                   12                   393
               Phaetusa simplex           11                   11                    79
        Pharomachrus antisianus           15                   15                   160
          Pharomachrus auriceps           42                   41                   535
          Pharomachrus fulgidus           23                   23                   433
         Pharomachrus pavoninus           15                   15                   320
         Philydor erythrocercum            3                    3                    15
            Philydor fuscipenne            8                    8                   133
             Philydor pyrrhodes            1                    1                    17
            Phimosus infuscatus           11                   11                    73
        Phlegopsis erythroptera            2                    2                    11
       Phlegopsis nigromaculata            5                    5                    35
      Phlogophilus hemileucurus            8                    8                    64
           Phoenicopterus ruber            2                    2                    32
                   Piaya cayana           27                   27                   334
             Piaya melanogaster            1                    1                     6
          Piculus chrysochloros            1                    1                     5
            Piculus leucolaemus            4                    4                    11
                  Piculus litae            1                    1                    12
           Picumnus cinnamomeus            5                    5                    35
                Picumnus exilis            4                    4                    65
           Picumnus granadensis           18                   18                   106
            Picumnus lafresnayi            4                    4                    49
             Picumnus olivaceus           21                   21                   283
               Picumnus pumilus            3                    3                    54
           Picumnus squamulatus            6                    6                    40
        Pionites melanocephalus           35                   35                   458
            Pionus chalcopterus           15                   15                   185
               Pionus menstruus           55                   55                   472
              Pionus seniloides           23                   23                   347
                Pionus sordidus            6                    6                    86
             Pionus tumultuosus            1                    1                     6
              Pipile cumanensis            7                    7                    31
               Pithys albifrons            7                    7                    66
           Plegadis falcinellus            2                    2                     2
            Podilymbus podiceps           18                   18                   111
              Poliocrania exsul           48                   48                   934
             Polyerata amabilis           16                   16                   137
           Polyerata rosenbergi            2                    2                    36
             Polytmus guainumbi            4                    4                    24
             Polytmus theresiae            9                    9                    85
            Porphyrio martinica            8                    8                    39
           Porphyriops melanops            8                    8                    32
               Porzana carolina            2                    2                    18
         Premnoplex brunnescens           36                   36                   805
          Premnornis guttuliger            4                    4                    43
  Pseudocolaptes boissonneautii           14                   14                    79
        Pseudocolaptes johnsoni           12                   12                   114
      Psittacara leucophthalmus            2                    2                    70
             Psittacara wagleri           59                   59                   944
              Psophia crepitans            8                    8                   561
        Pteroglossus castanotis            8                    8                   116
        Pteroglossus inscriptus            1                    1                     6
      Pteroglossus pluricinctus            5                    5                    41
        Pteroglossus sanguineus            4                    4                    36
         Pteroglossus torquatus            2                    2                    29
             Pulsatrix melanota           15                   15                   294
        Pulsatrix perspicillata           13                   13                   512
            Pygiptila stellaris            2                    2                    28
            Pyriglena leuconota            1                    1                     9
                Pyriglena maura           20                   20                   788
             Pyrilia barrabandi            8                    8                    66
             Pyrilia haematotis            1                    1                     7
                Pyrilia pyrilia            4                    4                    36
            Pyrrhura calliptera           16                   16                   192
              Pyrrhura melanura            8                    8                    84
                 Pyrrhura picta            3                    3                    46
            Pyrrhura viridicata           15                   15                   193
           Rallus aequatorialis            2                    2                    23
            Rallus longirostris            1                    1                     5
            Rallus semiplumbeus           50                   50                   318
            Ramphastos ambiguus           42                   42                  1075
              Ramphastos brevis           12                   12                   212
        Ramphastos citreolaemus            6                    6                    92
          Ramphastos sulfuratus           13                   13                   343
             Ramphastos tucanus           46                   46                  1537
          Ramphastos vitellinus           17                   17                   327
           Ramphomicron dorsale            4                    4                    47
     Ramphomicron microrhynchum            6                    6                    81
         Rhegmatorhina cristata           15                   15                   181
     Rhegmatorhina melanosticta            3                    3                    46
            Rhynchortyx cinctus            1                    1                    19
          Rostrhamus sociabilis            4                    4                    61
        Rufirallus castaneiceps            5                    5                    57
             Rufirallus viridis           10                   10                   115
          Rupornis magnirostris          127                  127                  2248
                 Rynchops niger            4                    4                    46
         Sakesphorus canadensis           47                   47                   699
            Saltator olivascens           30                   30                   446
                Sapayoa aenigma            2                    2                    49
    Saucerottia castaneiventris            8                    8                    54
         Saucerottia cyanifrons            6                    6                    18
        Saucerottia saucerottei            9                    9                    44
       Saucerottia viridigaster            2                    2                    12
           Schistes albogularis           10                   10                   153
             Schistes geoffroyi            1                    1                    19
               Sclateria naevia           20                   20                   348
          Sclerurus albigularis           11                   11                   222
            Sclerurus obscurior           27                   27                   387
          Sclerurus rufigularis            4                    4                    98
           Selenidera nattereri            4                    4                    23
         Selenidera reinwardtii            3                    3                    26
         Selenidera spectabilis            2                    2                    35
         Semnornis ramphastinus           15                   15                   174
               Sipia berlepschi            7                    7                   148
               Sipia nigricauda            4                    4                    47
                 Sipia palliata           49                   49                   753
      Sittasomus griseicapillus            6                    6                    51
             Spatula cyanoptera            2                    2                     6
                Spatula discors           15                   15                    32
              Spizaetus isidori            9                    9                    81
              Spizaetus ornatus            8                    8                   130
             Spizaetus tyrannus           13                   13                   143
          Steatornis caripensis           17                   17                   568
           Streptoprocne rutila            3                    3                    23
          Streptoprocne zonaris           15                   15                   105
               Strix albitarsis           25                   25                   428
                   Strix huhula            2                    2                    23
             Strix nigrolineata            9                    9                   256
                  Strix virgata           45                   45                   989
                  Sula nebouxii            1                    1                    18
           Synallaxis albescens           97                   95                  1230
         Synallaxis albigularis            8                    8                   101
              Synallaxis azarae          133                  133                  2253
           Synallaxis brachyura           29                   29                   313
              Synallaxis candei           19                   19                   278
          Synallaxis cinnamomea           29                   29                   316
           Synallaxis fuscorufa           35                   35                   522
